topic,month,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
IllegalImmi,Apr,ER_RC,359,267,tokens,2717,0.125965,0.798842,7459.86,unit;court;countri;releas;democrat;report;mexico;citi;american;alien,assang;judg;court;govern;citi;seeker;countri;new;'s;mexico
IllegalImmi,Apr,ER_RC,359,267,nouns,1914,0.144679,0.873643,5802.85,illegal;migrant;u.s.;year;president;trump;alien;border;immigration;asylum,country;mexico;year;seeker;immigrant;president;trump;immigration;border;asylum
IllegalImmi,Apr,ER_LC,359,960,tokens,3974,0.121137,0.804421,12437.4,sanctuari;law;report;democrat;alien;citi;releas;american;court;unit,assang;offici;unit;report;say;court;polici;new;judg;administr
IllegalImmi,Apr,ER_LC,359,960,nouns,3017,0.140233,0.872547,10468.9,illegal;migrant;year;alien;president;u.s.;asylum;immigration;border;trump,policy;u.s.;president;seeker;migrant;immigration;mexico;trump;border;asylum
IllegalImmi,Apr,ER_L,359,349,tokens,2774,0.131314,0.767675,8825.02,new;sanctuari;law;american;court;releas;countri;citi;democrat;alien,would;white;hous;secur;'s;peopl;judg;polici;administr;new
IllegalImmi,Apr,ER_L,359,349,nouns,1948,0.143013,0.848486,6917.56,illegal;migrant;year;u.s.;president;border;trump;alien;immigration;asylum,policy;administration;donald;mexico;immigration;border;asylum;president;trump;seeker
IllegalImmi,Apr,R_RC,708,267,tokens,3422,0.107011,0.867163,8129.03,';hous;administr;mexico;unit;democrat;court;citi;report;judg,say;refuge;court;assang;judg;new;govern;countri;mexico;citi
IllegalImmi,Apr,R_RC,708,267,nouns,2448,0.120078,0.92358,6310.42,migrant;seeker;mexico;immigrant;president;court;asylum;border;trump;immigration,country;mexico;year;immigrant;seeker;president;border;immigration;trump;asylum
IllegalImmi,Apr,C_ER,455,359,tokens,3025,0.128433,0.760254,10190.5,say;secur;';administr;court;polici;reuter;'s;donald;judg,sanctuari;law;american;alien;report;releas;democrat;;citi;court
IllegalImmi,Apr,C_ER,455,359,nouns,2214,0.141199,0.869487,8141.06,court;migrant;seeker;president;immigration;u.s.;mexico;trump;asylum;border,illegal;asylum;year;border;immigration;migrant;alien;president;u.s.;trump
IllegalImmi,Apr,C_R,455,708,tokens,3695,0.0958333,0.870994,10822.5,say;unit;secur;';reuter;countri;judg;polici;court;administr,';hous;report;administr;democrat;unit;court;;citi;judg
IllegalImmi,Apr,C_R,455,708,nouns,2705,0.104025,0.922172,8563.92,court;migrant;seeker;border;trump;mexico;asylum;president;immigration;u.s.,migrant;seeker;mexico;president;immigrant;border;trump;court;asylum;immigration
IllegalImmi,Apr,C_RC,455,267,tokens,2915,0.0980841,0.87289,6479.68,say;year;unit;secur;';reuter;polici;judg;court;administr,say;;refuge;judg;year;govern;assang;court;citi;new
IllegalImmi,Apr,C_RC,455,267,nouns,2050,0.105819,0.928529,4997.76,court;migrant;seeker;u.s.;immigration;president;mexico;asylum;border;trump,country;mexico;year;immigrant;asylum;seeker;immigration;president;border;trump
IllegalImmi,Apr,C_LC,455,960,tokens,4039,0.0665728,0.926582,8345.27,hous;say;judg;illeg;court;unit;';reuter;donald;secur,secur;assang;unit;offici;report;judg;say;court;new;
IllegalImmi,Apr,C_LC,455,960,nouns,3024,0.0721016,0.965504,6721.57,court;migrant;seeker;president;mexico;u.s.;immigration;border;trump;asylum,policy;u.s.;migrant;president;mexico;immigration;border;asylum;seeker;trump
IllegalImmi,Apr,C_L,455,349,tokens,3027,0.108522,0.846893,8439.98,report;hous;say;year;reuter;judg;secur;';court;illeg,barr;would;white;hous;peopl;year;;judg;report;secur
IllegalImmi,Apr,C_L,455,349,nouns,2092,0.112996,0.918711,6311.28,judge;court;immigration;u.s.;seeker;border;asylum;mexico;migrant;president,migrant;policy;immigration;administration;donald;mexico;seeker;president;asylum;border
IllegalImmi,Apr,LC_R,960,708,tokens,4491,0.0844091,0.891097,13675.4,assang;offici;unit;report;say;countri;new;court;polici;judg,releas;new;';citi;unit;hous;democrat;court;judg;report
IllegalImmi,Apr,LC_R,960,708,nouns,3406,0.0973641,0.922534,11279.5,policy;u.s.;migrant;president;immigration;border;asylum;mexico;trump;seeker,migrant;president;seeker;court;immigration;immigrant;asylum;mexico;trump;border
IllegalImmi,Apr,LC_RC,960,267,tokens,3883,0.0958263,0.890873,7784.31,secur;assang;report;offici;unit;say;court;judg;polici;new,feder;refuge;say;assang;judg;new;illeg;citi;govern;court
IllegalImmi,Apr,LC_RC,960,267,nouns,2824,0.105924,0.945812,6065.75,policy;u.s.;migrant;seeker;president;trump;border;asylum;mexico;immigration,country;mexico;year;seeker;immigrant;president;border;asylum;trump;immigration
IllegalImmi,Apr,L_R,349,708,tokens,3441,0.104369,0.860662,9384.06,countri;white;would;hous;new;peopl;secur;judg;unit;polici,sanctuari;releas;new;hous;';democrat;judg;unit;court;citi
IllegalImmi,Apr,L_R,349,708,nouns,2466,0.111966,0.91145,7284.12,policy;administration;donald;mexico;president;seeker;border;immigration;trump;asylum,migrant;seeker;trump;mexico;president;immigrant;border;immigration;court;asylum
IllegalImmi,Apr,L_RC,349,267,tokens,2726,0.125427,0.817026,7221.77,white;would;hous;peopl;report;unit;secur;polici;judg;'s,say;refuge;assang;judg;court;govern;citi;illeg;'s;countri
IllegalImmi,Apr,L_RC,349,267,nouns,1818,0.137457,0.90156,5399.58,migrant;president;administration;asylum;immigration;donald;policy;border;seeker;mexico,government;country;year;mexico;immigrant;president;seeker;border;asylum;immigration
IllegalImmi,Apr,L_LC,349,960,tokens,3971,0.0955282,0.891033,9631.23,white;new;donald;judg;secur;peopl;report;would;hous;unit,secur;assang;unit;offici;report;say;judg;new;countri;court
IllegalImmi,Apr,L_LC,349,960,nouns,2895,0.103671,0.940227,7576,policy;administration;donald;mexico;immigration;seeker;president;border;asylum;trump,policy;u.s.;asylum;migrant;trump;seeker;mexico;immigration;president;border
IllegalImmi,May,ER_R,284,504,tokens,2924,0.0965287,0.86521,6743.57,claim;alien;famili;accord;nation;american;new;releas;old;would,would;new;claim;alien;'s;seeker;old;court;polici;hous
IllegalImmi,May,ER_R,284,504,nouns,2111,0.0996584,0.92999,4989.81,mexico;president;migrant;year;u.s.;alien;border;immigration;trump;asylum,country;u.s.;immigrant;year;mexico;trump;asylum;border;president;immigration
IllegalImmi,May,ER_RC,284,208,tokens,2392,0.152017,0.718191,6997.01,say;claim;famili;would;nation;accord;american;old;alien;releas,polici;two;canada;would;court;hous;refuge;seeker;'s;govern
IllegalImmi,May,ER_RC,284,208,nouns,1653,0.169245,0.822808,5394.38,mexico;president;asylum;year;u.s.;immigration;migrant;border;trump;alien,president;country;government;immigration;year;seeker;asylum;mexico;trump;border
IllegalImmi,May,ER_LC,284,673,tokens,3504,0.131281,0.780571,10373.2,claim;nation;would;alien;old;report;accord;american;countri;releas,govern;children;peopl;offici;say;court;famili;seeker;would;administr
IllegalImmi,May,ER_LC,284,673,nouns,2573,0.147296,0.87505,8207.7,mexico;president;alien;migrant;u.s.;year;trump;asylum;immigration;border,u.s.;president;migrant;year;asylum;immigration;mexico;seeker;border;trump
IllegalImmi,May,ER_L,284,161,tokens,2201,0.150407,0.747204,5872.84,nation;new;would;accord;;american;countri;releas;old;alien,hous;offici;administr;donald;polici;plan;new;seeker;'s;one
IllegalImmi,May,ER_L,284,161,nouns,1504,0.158049,0.818358,4284.56,mexico;president;migrant;u.s.;year;alien;trump;asylum;immigration;border,migrant;mexico;u.s.;donald;administration;border;president;immigration;trump;asylum
IllegalImmi,May,R_RC,504,208,tokens,2912,0.122336,0.837168,7058.99,would;hous;alien;polici;old;report;unit;court;migrant;claim,claim;polici;two;court;refuge;canada;hous;migrant;govern;would
IllegalImmi,May,R_RC,504,208,nouns,2027,0.136674,0.875921,5503.82,country;immigrant;year;immigration;u.s.;trump;asylum;mexico;president;border,president;country;government;year;immigration;mexico;seeker;asylum;trump;border
IllegalImmi,May,C_ER,298,284,tokens,2550,0.13661,0.74103,7892.42,famili;reuter;new;photo;administr;would;court;polici;'s;seeker,claim;nation;new;would;;accord;old;american;alien;releas
IllegalImmi,May,C_ER,298,284,nouns,1796,0.144184,0.862589,5997.27,president;migrant;u.s.;immigration;trump;seeker;border;mexico;court;asylum,mexico;alien;president;migrant;u.s.;asylum;year;border;trump;immigration
IllegalImmi,May,C_R,298,504,tokens,3043,0.102989,0.852393,7659.42,wait;administr;court;photo;famili;unit;would;reuter;polici;report,one;would;alien;old;hous;unit;polici;court;report;claim
IllegalImmi,May,C_R,298,504,nouns,2182,0.106863,0.907279,5863.49,president;migrant;court;asylum;trump;immigration;u.s.;mexico;border;seeker,country;u.s.;year;immigrant;mexico;immigration;trump;border;president;asylum
IllegalImmi,May,C_RC,298,208,tokens,2434,0.113183,0.838484,5553.9,reuter;report;photo;unit;would;illeg;court;administr;polici;year,polici;two;hous;court;would;canada;refuge;govern;illeg;year
IllegalImmi,May,C_RC,298,208,nouns,1646,0.121434,0.902174,4194.18,president;court;migrant;seeker;border;trump;asylum;immigration;mexico;u.s.,president;country;mexico;year;seeker;government;immigration;trump;border;asylum
IllegalImmi,May,C_LC,298,673,tokens,3543,0.0904292,0.891583,7579.76,famili;reuter;report;countri;illeg;would;administr;court;photo;polici,illeg;govern;children;peopl;offici;say;famili;court;would;administr
IllegalImmi,May,C_LC,298,673,nouns,2589,0.0976483,0.939924,5978.28,president;migrant;court;trump;mexico;border;u.s.;immigration;seeker;asylum,u.s.;migrant;seeker;border;trump;asylum;year;president;immigration;mexico
IllegalImmi,May,C_L,298,161,tokens,2301,0.135166,0.808139,5438.94,famili;reuter;photo;illeg;court;year;polici;would;unit;countri,secur;peopl;two;one;polici;plan;would;hous;year;offici
IllegalImmi,May,C_L,298,161,nouns,1556,0.13629,0.859114,3980.2,president;migrant;court;asylum;u.s.;border;immigration;mexico;seeker;trump,migrant;mexico;administration;u.s.;donald;border;president;immigration;asylum;trump
IllegalImmi,May,LC_R,673,504,tokens,3932,0.0951766,0.886399,10841,govern;children;peopl;offici;unit;famili;administr;say;court;would,would;alien;unit;claim;report;countri;old;court;polici;hous
IllegalImmi,May,LC_R,673,504,nouns,2893,0.10882,0.92617,8786.62,u.s.;president;mexico;immigration;migrant;asylum;year;trump;seeker;border,country;u.s.;immigrant;border;year;president;immigration;asylum;mexico;trump
IllegalImmi,May,LC_RC,673,208,tokens,3381,0.102932,0.887252,6477.66,govern;children;peopl;offici;unit;would;famili;court;say;administr,polici;illeg;two;hous;would;court;govern;canada;refuge;countri
