Features,comp,Topic,k,Ideology,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,Apr-Jul,AsylumSeekers,32,LC,0.5659,10,Apr,Jul,3,0.6012,0.6811,0.08,0.0353,Month
BoW,Apr-Jul,AsylumSeekers,32,R,0.5354,10,Apr,Jul,3,0.5747,0.6299,0.0552,0.0393,Month
BoW,Apr-Jul,AsylumSeekers,32,RC,0.547,10,Apr,Jul,3,0.57,0.641,0.071,0.023,Month
BoW,Apr-Jul,ClimateChange,4,C,0.5112,10,Apr,Jul,3,0.5578,0.666,0.1082,0.0466,Month
BoW,Apr-Jul,ClimateChange,4,ER,0.5188,10,Apr,Jul,3,0.4904,0.5978,0.1074,-0.0284,Month
BoW,Apr-Jul,ClimateChange,4,L,0.5177,10,Apr,Jul,3,0.5878,0.7024,0.1146,0.0701,Month
BoW,Apr-Jul,ClimateChange,4,LC,0.5256,10,Apr,Jul,3,0.5424,0.6748,0.1324,0.0168,Month
BoW,Apr-Jul,ClimateChange,4,R,0.5273,10,Apr,Jul,3,0.5751,0.6588,0.0837,0.0478,Month
BoW,Apr-Jul,ClimateChange,4,RC,0.5305,10,Apr,Jul,3,0.5929,0.6701,0.0772,0.0625,Month
BoW,Apr-Jul,ClimateChange,8,C,0.5202,10,Apr,Jul,3,0.566,0.666,0.1,0.0459,Month
BoW,Apr-Jul,ClimateChange,8,ER,0.5427,10,Apr,Jul,3,0.5219,0.5978,0.0759,-0.0208,Month
BoW,Apr-Jul,ClimateChange,8,L,0.5437,10,Apr,Jul,3,0.5858,0.7024,0.1167,0.0421,Month
BoW,Apr-Jul,ClimateChange,8,LC,0.5297,10,Apr,Jul,3,0.5638,0.6748,0.111,0.0341,Month
BoW,Apr-Jul,ClimateChange,8,R,0.5332,10,Apr,Jul,3,0.6019,0.6588,0.0569,0.0687,Month
BoW,Apr-Jul,ClimateChange,8,RC,0.5432,10,Apr,Jul,3,0.6016,0.6701,0.0685,0.0584,Month
BoW,Apr-Jul,ClimateChange,16,C,0.5257,10,Apr,Jul,3,0.5767,0.666,0.0893,0.051,Month
BoW,Apr-Jul,ClimateChange,16,ER,0.5541,10,Apr,Jul,3,0.5518,0.5978,0.046,-0.0023,Month
BoW,Apr-Jul,ClimateChange,16,L,0.5714,10,Apr,Jul,3,0.6155,0.7024,0.087,0.044,Month
BoW,Apr-Jul,ClimateChange,16,LC,0.5444,10,Apr,Jul,3,0.5816,0.6748,0.0932,0.0372,Month
BoW,Apr-Jul,ClimateChange,16,R,0.5599,10,Apr,Jul,3,0.62,0.6588,0.0389,0.06,Month
BoW,Apr-Jul,ClimateChange,16,RC,0.572,10,Apr,Jul,3,0.6217,0.6701,0.0484,0.0497,Month
BoW,Apr-Jul,ClimateChange,32,C,0.5604,10,Apr,Jul,3,0.6032,0.666,0.0629,0.0427,Month
BoW,Apr-Jul,ClimateChange,32,ER,0.5136,10,Apr,Jul,3,0.5285,0.5978,0.0693,0.0149,Month
BoW,Apr-Jul,ClimateChange,32,L,0.5842,10,Apr,Jul,3,0.6345,0.7024,0.0679,0.0503,Month
BoW,Apr-Jul,ClimateChange,32,LC,0.5647,10,Apr,Jul,3,0.5946,0.6748,0.0802,0.0299,Month
BoW,Apr-Jul,ClimateChange,32,R,0.5833,10,Apr,Jul,3,0.6132,0.6588,0.0456,0.0299,Month
BoW,Apr-Jul,ClimateChange,32,RC,0.6039,10,Apr,Jul,3,0.6314,0.6701,0.0388,0.0275,Month
BoW,Apr-Jul,GunControl,4,C,0.5705,10,Apr,Jul,3,0.6226,0.6926,0.07,0.0521,Month
BoW,Apr-Jul,GunControl,4,ER,0.4778,10,Apr,Jul,3,0.5007,0.6049,0.1042,0.0229,Month
BoW,Apr-Jul,GunControl,4,L,0.548,10,Apr,Jul,3,0.668,0.6809,0.013,0.12,Month
BoW,Apr-Jul,GunControl,4,LC,0.5097,10,Apr,Jul,3,0.6461,0.7066,0.0605,0.1363,Month
BoW,Apr-Jul,GunControl,4,R,0.5473,10,Apr,Jul,3,0.6283,0.7021,0.0738,0.081,Month
BoW,Apr-Jul,GunControl,4,RC,0.555,10,Apr,Jul,3,0.5906,0.6777,0.0871,0.0355,Month
BoW,Apr-Jul,GunControl,8,C,0.5649,10,Apr,Jul,3,0.6171,0.6926,0.0755,0.0523,Month
BoW,Apr-Jul,GunControl,8,ER,0.4758,10,Apr,Jul,3,0.5621,0.6049,0.0428,0.0863,Month
BoW,Apr-Jul,GunControl,8,L,0.5938,10,Apr,Jul,3,0.6273,0.6809,0.0536,0.0335,Month
BoW,Apr-Jul,GunControl,8,LC,0.5733,10,Apr,Jul,3,0.6471,0.7066,0.0594,0.0739,Month
BoW,Apr-Jul,GunControl,8,R,0.5558,10,Apr,Jul,3,0.648,0.7021,0.0542,0.0921,Month
BoW,Apr-Jul,GunControl,8,RC,0.5684,10,Apr,Jul,3,0.6194,0.6777,0.0584,0.051,Month
BoW,Apr-Jul,GunControl,16,C,0.6077,10,Apr,Jul,3,0.6663,0.6926,0.0263,0.0587,Month
BoW,Apr-Jul,GunControl,16,ER,0.4823,10,Apr,Jul,3,0.5596,0.6049,0.0453,0.0773,Month
BoW,Apr-Jul,GunControl,16,L,0.6029,10,Apr,Jul,3,0.663,0.6809,0.0179,0.0601,Month
BoW,Apr-Jul,GunControl,16,LC,0.5966,10,Apr,Jul,3,0.6552,0.7066,0.0514,0.0585,Month
