topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,L,May_Aug,154,843,tokens,3562,0.158456,0.73405,8290.99,state;one;new;law;two;'s;nra;student;school;kill,republican;state;donald;dayton;white;texa;call;'s;control;kill
GunControl,L,May_Aug,154,843,nouns,2509,0.206342,0.624684,6903.57,control;president;law;people;violence;nra;year;school;student;shooting,texas;el;paso;control;people;trump;shooting;dayton;president;violence
GunControl,L,May_Sep,154,330,tokens,2403,0.168294,0.684675,6826.29,nation;high;presid;one;new;two;nra;law;school;student,presid;new;odessa;beto;republican;call;law;control;democrat;trump
GunControl,L,May_Sep,154,330,nouns,1605,0.212167,0.620441,5418.21,control;president;people;law;violence;shooting;nra;school;student;year,year;beto;trump;law;shooting;people;violence;control;state;texas
GunControl,L,Jun_Jul,161,113,tokens,1681,0.149485,0.725335,3561.03,cnn;time;senat;beach;mass;virginia;democrat;state;citi;nra,mass;;old;democrat;garlic;state;festiv;gilroy;polic;california
GunControl,L,Jun_Jul,161,113,nouns,1057,0.16819,0.739321,2517.78,cnn;year;virginia;city;beach;law;people;nra;shooting;violence,garlic;police;law;year;festival;people;shooting;violence;california;gilroy
GunControl,L,Jun_Aug,161,843,tokens,3581,0.142163,0.775797,7796.95,democrat;senat;nra;citi;law;beach;state;virginia;kill;new,ohio;republican;state;donald;dayton;kill;texa;call;white;control
GunControl,L,Jun_Aug,161,843,nouns,2509,0.180755,0.691883,6403.51,cnn;year;law;nra;city;beach;people;violence;shooting;virginia,texas;dayton;control;president;paso;shooting;el;trump;people;violence
GunControl,L,Jun_Sep,161,330,tokens,2407,0.148066,0.751361,6184.67,one;cnn;time;year;virginia;new;nra;senat;citi;beach,one;presid;new;year;odessa;beto;control;call;trump;republican
GunControl,L,Jun_Sep,161,330,nouns,1602,0.184607,0.703398,4912.97,cnn;law;year;nra;shooting;people;beach;virginia;violence;city,year;beto;law;state;control;violence;trump;shooting;texas;people
GunControl,L,Jul_Aug,113,843,tokens,3456,0.164101,0.729632,6269.41,old;state;new;polic;garlic;california;gilroy;law;festiv;kill,ohio;donald;state;call;kill;control;white;'s;dayton;texa
GunControl,L,Jul_Aug,113,843,nouns,2385,0.202139,0.676352,4975,garlic;police;year;law;california;people;shooting;violence;gilroy;festival,texas;dayton;control;president;paso;trump;people;violence;el;shooting
GunControl,L,Jul_Sep,113,330,tokens,2235,0.172726,0.6864,5276.57,trump;cnn;california;festiv;garlic;old;polic;new;offic;gilroy,weapon;report;presid;new;beto;republican;control;call;trump;odessa
GunControl,L,Jul_Sep,113,330,nouns,1463,0.206589,0.684657,4046.4,garlic;police;california;law;gilroy;shooting;people;festival;violence;year,year;beto;state;control;law;people;texas;violence;trump;shooting
GunControl,L,Aug_Sep,843,330,tokens,3885,0.10572,0.859977,9980.75,one;nation;republican;ohio;state;call;donald;kill;white;dayton,one;new;odessa;democrat;call;beto;law;state;republican;kill
GunControl,L,Aug_Sep,843,330,nouns,2774,0.126252,0.848248,7806.36,texas;dayton;control;el;shooting;trump;people;president;violence;paso,year;beto;law;state;trump;control;violence;people;shooting;texas
IllegalImmi,all,Jan_Feb,4322,2286,tokens,9239,0.0670695,0.875141,42774.3,rahaf;woman;mexico;migrant;wall;saudi;new;govern;seeker;famili,countri;wall;nation;report;peopl;govern;migrant;mexico;new;seeker
IllegalImmi,all,Jan_Feb,4322,2286,nouns,7992,0.083447,0.92619,36527.9,u.s.;woman;wall;trump;border;immigration;year;asylum;president;family,people;immigration;u.s.;year;border;president;seeker;trump;government;asylum
IllegalImmi,all,Jan_Mar,4322,2388,tokens,9160,0.0742086,0.854665,47968.2,rahaf;woman;seeker;migrant;new;govern;mexico;saudi;famili;wall,peopl;famili;polici;report;court;countri;new;seeker;mexico;migrant
IllegalImmi,all,Jan_Mar,4322,2388,nouns,7954,0.0899626,0.915233,40176.2,u.s.;woman;family;wall;president;year;immigration;border;trump;asylum,migrant;immigrant;seeker;mexico;year;u.s.;trump;border;immigration;asylum
IllegalImmi,all,Jan_Apr,4322,3098,tokens,9350,0.0857763,0.803905,65246.8,rahaf;woman;govern;say;new;seeker;mexico;famili;wall;saudi,unit;countri;report;new;polici;judg;administr;court;mexico;seeker
IllegalImmi,all,Jan_Apr,4322,3098,nouns,8168,0.103825,0.886634,55284.1,u.s.;woman;family;wall;president;year;trump;immigration;asylum;border,year;migrant;president;border;asylum;u.s.;trump;seeker;mexico;immigration
IllegalImmi,all,Jan_May,4322,2128,tokens,8953,0.0808254,0.844014,49125.9,woman;mexico;seeker;new;wall;migrant;say;famili;saudi;govern,polici;report;unit;would;countri;mexico;migrant;new;seeker;court
