k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,Jul,Aug,1,Jul-Aug,SBERT,0.5316,0.0059,0.6197,0.0082,30,0.8858,very strong (.8 1],0.0881,Month
8,Jul,Sep,2,Jul-Sep,BoW,0.555,0.0055,0.6815,0.0071,30,0.5665,moderate (.4 .6],0.1265,Month
8,Jul,Sep,2,Jul-Sep,SBERT,0.5477,0.0047,0.6387,0.0068,30,0.6915,strong (.6 .8],0.091,Month
8,Aug,Sep,1,Aug-Sep,BoW,0.5367,0.0038,0.659,0.0085,30,0.6613,strong (.6 .8],0.1223,Month
8,Aug,Sep,1,Aug-Sep,SBERT,0.5331,0.0035,0.6138,0.0079,30,0.6014,strong (.6 .8],0.0807,Month
16,Jan,Feb,1,Jan-Feb,BoW,0.5562,0.0052,0.6333,0.0068,30,0.7309,strong (.6 .8],0.0771,Month
16,Jan,Feb,1,Jan-Feb,SBERT,0.5455,0.0056,0.6025,0.0071,30,0.7118,strong (.6 .8],0.057,Month
16,Jan,Mar,2,Jan-Mar,BoW,0.5689,0.0065,0.6634,0.0077,30,0.6343,strong (.6 .8],0.0944,Month
16,Jan,Mar,2,Jan-Mar,SBERT,0.5531,0.0054,0.6222,0.0076,30,0.7176,strong (.6 .8],0.0691,Month
16,Jan,Apr,3,Jan-Apr,BoW,0.5713,0.0067,0.6691,0.0102,30,0.7424,strong (.6 .8],0.0978,Month
16,Jan,Apr,3,Jan-Apr,SBERT,0.5559,0.0067,0.634,0.0093,30,0.77,strong (.6 .8],0.0781,Month
16,Jan,May,4,Jan-May,BoW,0.5716,0.0064,0.6763,0.0077,30,0.7308,strong (.6 .8],0.1047,Month
16,Jan,May,4,Jan-May,SBERT,0.5588,0.0062,0.6356,0.0079,30,0.8083,very strong (.8 1],0.0768,Month
16,Jan,Jun,5,Jan-Jun,BoW,0.58,0.0052,0.6833,0.0072,30,0.624,strong (.6 .8],0.1033,Month
16,Jan,Jun,5,Jan-Jun,SBERT,0.5618,0.0058,0.6487,0.0075,30,0.7381,strong (.6 .8],0.0869,Month
16,Jan,Jul,6,Jan-Jul,BoW,0.579,0.0062,0.6864,0.0082,30,0.7528,strong (.6 .8],0.1074,Month
16,Jan,Jul,6,Jan-Jul,SBERT,0.5656,0.0066,0.6432,0.0074,30,0.6554,strong (.6 .8],0.0775,Month
16,Jan,Aug,7,Jan-Aug,BoW,0.5819,0.0082,0.694,0.0097,30,0.7473,strong (.6 .8],0.1121,Month
16,Jan,Aug,7,Jan-Aug,SBERT,0.5604,0.0069,0.6607,0.0083,30,0.8416,very strong (.8 1],0.1003,Month
16,Jan,Sep,8,Jan-Sep,BoW,0.5958,0.0065,0.6998,0.0092,30,0.7526,strong (.6 .8],0.104,Month
16,Jan,Sep,8,Jan-Sep,SBERT,0.576,0.007,0.6602,0.01,30,0.8749,very strong (.8 1],0.0842,Month
16,Feb,Mar,1,Feb-Mar,BoW,0.5597,0.0077,0.6464,0.0107,30,0.7611,strong (.6 .8],0.0868,Month
16,Feb,Mar,1,Feb-Mar,SBERT,0.5473,0.0072,0.616,0.0099,30,0.8565,very strong (.8 1],0.0687,Month
16,Feb,Apr,2,Feb-Apr,BoW,0.576,0.006,0.6792,0.0091,30,0.8152,very strong (.8 1],0.1032,Month
16,Feb,Apr,2,Feb-Apr,SBERT,0.5564,0.0052,0.6328,0.0069,30,0.7411,strong (.6 .8],0.0764,Month
16,Feb,May,3,Feb-May,BoW,0.5744,0.0058,0.6772,0.0075,30,0.661,strong (.6 .8],0.1027,Month
16,Feb,May,3,Feb-May,SBERT,0.5552,0.0049,0.6407,0.0065,30,0.7454,strong (.6 .8],0.0855,Month
16,Feb,Jun,4,Feb-Jun,BoW,0.5866,0.0061,0.6891,0.0076,30,0.4904,moderate (.4 .6],0.1025,Month
16,Feb,Jun,4,Feb-Jun,SBERT,0.5617,0.0045,0.6471,0.0068,30,0.7462,strong (.6 .8],0.0854,Month
16,Feb,Jul,5,Feb-Jul,BoW,0.5877,0.0072,0.6937,0.008,30,0.6446,strong (.6 .8],0.1061,Month
