k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,Jan,Apr,3,Jan-Apr,SBERT,0.5839,0.0076,0.634,0.0093,30,0.8073,very strong (.8 1],0.0501,Month
8,Jan,May,4,Jan-May,BoW,0.6007,0.007,0.6763,0.0077,30,0.8189,very strong (.8 1],0.0756,Month
8,Jan,May,4,Jan-May,SBERT,0.5909,0.0062,0.6356,0.0079,30,0.7162,strong (.6 .8],0.0447,Month
8,Jan,Jun,5,Jan-Jun,BoW,0.6176,0.0067,0.6833,0.0072,30,0.7058,strong (.6 .8],0.0657,Month
8,Jan,Jun,5,Jan-Jun,SBERT,0.5961,0.0063,0.6487,0.0075,30,0.7742,strong (.6 .8],0.0526,Month
8,Jan,Jul,6,Jan-Jul,BoW,0.6119,0.0075,0.6864,0.0082,30,0.811,very strong (.8 1],0.0745,Month
8,Jan,Jul,6,Jan-Jul,SBERT,0.5982,0.007,0.6432,0.0074,30,0.798,strong (.6 .8],0.0449,Month
8,Jan,Aug,7,Jan-Aug,BoW,0.6238,0.0098,0.694,0.0097,30,0.8398,very strong (.8 1],0.0703,Month
8,Jan,Aug,7,Jan-Aug,SBERT,0.608,0.008,0.6607,0.0083,30,0.8996,very strong (.8 1],0.0527,Month
8,Jan,Sep,8,Jan-Sep,BoW,0.6351,0.0091,0.6998,0.0092,30,0.832,very strong (.8 1],0.0647,Month
8,Jan,Sep,8,Jan-Sep,SBERT,0.6196,0.0091,0.6602,0.01,30,0.8545,very strong (.8 1],0.0407,Month
8,Feb,Mar,1,Feb-Mar,BoW,0.5878,0.009,0.6464,0.0107,30,0.8427,very strong (.8 1],0.0587,Month
8,Feb,Mar,1,Feb-Mar,SBERT,0.5801,0.0092,0.616,0.0099,30,0.8845,very strong (.8 1],0.0359,Month
8,Feb,Apr,2,Feb-Apr,BoW,0.6113,0.0075,0.6792,0.0091,30,0.7951,strong (.6 .8],0.0679,Month
8,Feb,Apr,2,Feb-Apr,SBERT,0.5888,0.0065,0.6328,0.0069,30,0.7585,strong (.6 .8],0.044,Month
8,Feb,May,3,Feb-May,BoW,0.6037,0.0066,0.6772,0.0075,30,0.6999,strong (.6 .8],0.0734,Month
8,Feb,May,3,Feb-May,SBERT,0.5893,0.0058,0.6407,0.0065,30,0.8222,very strong (.8 1],0.0514,Month
8,Feb,Jun,4,Feb-Jun,BoW,0.6287,0.0076,0.6891,0.0076,30,0.6039,strong (.6 .8],0.0604,Month
8,Feb,Jun,4,Feb-Jun,SBERT,0.6003,0.0059,0.6471,0.0068,30,0.8118,very strong (.8 1],0.0468,Month
8,Feb,Jul,5,Feb-Jul,BoW,0.6224,0.008,0.6937,0.008,30,0.6882,strong (.6 .8],0.0713,Month
8,Feb,Jul,5,Feb-Jul,SBERT,0.5984,0.006,0.6472,0.0063,30,0.801,very strong (.8 1],0.0487,Month
8,Feb,Aug,6,Feb-Aug,BoW,0.6201,0.0095,0.7026,0.009,30,0.8616,very strong (.8 1],0.0825,Month
8,Feb,Aug,6,Feb-Aug,SBERT,0.6031,0.0074,0.6583,0.0086,30,0.8877,very strong (.8 1],0.0553,Month
8,Feb,Sep,7,Feb-Sep,BoW,0.6398,0.0074,0.7062,0.0094,30,0.8539,very strong (.8 1],0.0664,Month
8,Feb,Sep,7,Feb-Sep,SBERT,0.6173,0.0075,0.6658,0.0081,30,0.7915,strong (.6 .8],0.0485,Month
8,Mar,Apr,1,Mar-Apr,BoW,0.5827,0.007,0.6459,0.0078,30,0.6922,strong (.6 .8],0.0632,Month
